Build Num,slow_ratio,repository_id
8553,0.991,23
2234,0.026,24
3625,0.897,26
7126,0.704,29
12116,0.886,44
2950,0.045,49
397,0.048,60
4556,0.922,63
451,0.734,68
1347,0.000,74
901,0.665,81
663,0.747,83
2315,0.473,85
350,0.000,86
451,0.013,91
1534,0.008,107
1620,0.051,117
345,0.986,118
310,0.035,120
796,0.122,123
307,0.114,136
8842,0.213,162
1798,0.014,164
2973,0.805,166
8895,0.932,175
1622,0.100,177
485,0.948,194
1355,0.415,206
312,0.942,207
707,0.027,209
653,0.002,214
1642,0.549,219
561,0.007,224
380,0.824,228
344,0.012,238
526,0.010,247
9500,0.887,280
2668,0.039,288
382,0.047,304
1093,0.087,324
3504,0.103,329
1577,0.703,340
783,0.549,349
2052,0.010,369
6305,0.442,377
692,0.003,382
400,0.777,388
856,0.283,395
1158,0.339,397
3549,0.768,402
373,0.051,405
1151,0.044,460
1714,0.344,462
550,0.631,464
1501,0.005,467
1826,0.550,468
4078,0.470,471
878,0.580,480
557,0.074,488
471,0.042,499
472,0.968,509
499,0.022,513
356,0.169,516
614,0.148,541
654,0.347,566
653,0.025,568
7517,0.923,596
1458,0.071,604
385,0.335,625
473,0.032,633
1710,0.753,663
447,0.322,666
5836,0.964,669
586,0.009,695
3460,0.008,696
465,0.935,709
549,0.823,756
546,0.392,771
368,0.152,783
767,0.335,787
6046,0.656,811
1552,0.864,816
1849,0.042,841
447,0.888,852
498,0.398,873
1472,0.008,891
604,0.937,939
2523,0.952,1008
316,0.016,1025
516,0.033,1032
389,0.887,1047
1250,0.880,1055
665,0.009,1096
4785,0.591,1102
317,0.041,1111
824,0.023,1132
7243,0.517,1178
741,0.742,1181
1312,0.017,1188
967,0.174,1194
629,0.901,1215
352,0.000,1228
706,0.207,1249
960,0.978,1264
345,0.284,1266
362,0.884,1297
4292,0.630,1301
5496,0.488,1335
923,0.003,1372
2823,0.012,1382
915,0.878,1394
3019,0.358,1423
459,0.017,1517
420,0.243,1534
473,0.338,1537
818,0.840,1541
1105,0.273,1573
426,0.148,1576
393,0.008,1577
549,0.719,1619
779,0.837,1620
435,0.000,1763
410,0.049,1815
2292,0.917,1829
917,0.001,1875
1413,0.106,1876
1005,0.020,1933
641,0.011,1937
317,0.000,1978
430,0.009,2020
371,0.003,2025
598,0.614,2061
2654,0.538,2073
362,0.276,2133
403,0.007,2157
764,0.175,2179
318,0.119,2263
582,0.098,2281
527,0.634,2319
522,0.891,2476
457,0.007,2545
456,0.081,2635
399,0.604,2645
19627,0.955,2657
788,0.009,2677
3723,0.665,2786
1203,0.027,2932
328,0.979,2974
2669,0.752,2997
364,0.011,3022
3947,0.713,3127
418,0.132,3188
311,0.904,3342
2137,0.950,3451
321,0.003,3476
354,0.006,3481
304,0.056,3487
535,0.564,3517
355,0.000,3594
309,0.010,3626
968,0.221,3648
904,0.300,3668
586,0.399,3702
3202,0.840,3732
356,0.003,3771
439,0.023,3825
485,0.072,3947
2095,0.747,4005
3726,0.012,4021
311,0.952,4024
1947,0.004,4214
868,0.705,4247
321,0.240,4355
493,0.004,4374
455,0.000,4377
2186,0.081,4423
3062,0.875,4430
548,0.071,4479
308,0.010,4566
797,0.797,4728
5928,0.741,4755
1098,0.010,4759
853,0.002,4867
2744,0.004,4918
592,0.003,5043
384,0.708,5063
426,0.005,5071
5704,0.002,5082
454,0.004,5195
467,0.069,5221
324,0.883,5362
1022,0.007,5872
924,0.313,6061
3805,0.276,6288
2760,0.781,6429
473,0.002,6465
1560,0.326,6477
374,0.575,6652
410,0.000,6718
1961,0.921,6763
375,0.299,6769
11363,0.911,6803
1184,0.001,6948
889,0.213,6971
7039,0.370,7072
3713,0.318,7075
1359,0.936,7103
3184,0.287,7324
301,0.000,7329
1340,0.057,7528
663,0.760,7707
859,0.283,7875
7666,0.491,8176
1221,0.544,8197
489,0.466,8448
1927,0.100,8682
769,0.062,8690
356,0.006,8693
1938,0.829,8964
1669,0.012,9039
790,0.003,9050
1778,0.441,9420
686,0.001,9479
1652,0.290,9514
322,0.283,9526
2468,0.872,9531
311,0.051,9598
463,0.343,9728
485,0.000,10000
633,0.003,10026
475,0.017,10168
980,0.782,10183
486,0.074,11159
449,0.000,11505
479,0.271,11508
311,0.003,12137
595,0.003,12672
443,0.930,13042
1184,0.060,13158
314,0.968,13506
1948,0.185,13656
407,0.209,13723
1048,0.034,13888
599,0.416,14023
2960,0.405,14213
1800,0.234,14325
747,0.131,14470
936,0.125,14711
525,0.611,14715
321,0.003,14833
2321,0.720,15069
3390,0.480,15127
8868,0.097,15361
2023,0.030,16633
1289,0.041,17075
1791,0.734,17736
305,0.810,18429
13945,0.662,19249
316,0.228,19294
430,0.588,19808
2132,0.944,19995
303,0.007,20337
1221,0.399,20348
1585,0.867,20870
398,0.003,21727
311,0.289,22002
1686,0.645,22258
4215,0.341,23786
1070,0.239,24018
851,0.006,24310
636,0.107,24321
391,0.036,24446
475,0.444,24457
919,0.680,24532
1192,0.083,24612
332,0.000,24899
572,0.339,24934
329,0.316,25247
742,0.313,25379
514,0.000,26728
625,0.080,27058
1347,0.098,27400
5423,0.188,27417
1230,0.017,27690
1306,0.665,28082
469,0.002,28274
1039,0.099,28735
4824,0.799,28823
958,0.000,28934
352,0.616,30769
1391,0.093,31341
546,0.223,33763
1380,0.004,33869
1377,0.376,33900
850,0.182,33958
582,0.050,34047
1544,0.003,34104
1599,0.476,34224
5253,0.815,34369
882,0.296,34631
1796,0.860,34635
566,0.009,34887
357,0.838,35012
3696,0.818,35200
356,0.017,35645
444,0.005,35896
382,0.000,36225
425,0.699,36294
7518,0.090,36448
412,0.177,36509
357,0.014,37864
877,0.040,38116
1429,0.140,38586
1038,0.925,40218
1189,0.130,40761
2567,0.020,40795
833,0.654,41479
1504,0.370,42073
430,0.842,42351
1065,0.776,42921
395,0.010,42993
774,0.006,43187
1214,0.062,43573
643,0.006,43738
789,0.398,43823
623,0.525,44146
1647,0.098,44716
734,0.173,46593
328,0.027,46989
1832,0.827,47552
478,0.000,49588
1002,0.159,49806
701,0.001,50482
581,0.129,51027
451,0.475,52831
643,0.070,53026
2186,0.361,53149
454,0.009,53181
308,0.000,53244
1587,0.527,53466
341,0.003,53662
518,0.015,53753
508,0.230,53845
1968,0.738,54066
393,0.173,54144
3594,0.063,54707
377,0.775,55142
4022,0.312,55209
354,0.006,56139
1079,0.862,56437
1675,0.026,56799
514,0.603,57057
402,0.022,57059
27073,0.195,57772
848,0.291,57840
482,0.000,57961
454,0.573,60683
325,0.000,61359
861,0.706,61623
451,0.277,61714
1702,0.010,62010
423,0.061,67306
503,0.473,67653
3703,0.010,67738
471,0.189,68004
1074,0.027,70355
1235,0.400,70666
1621,0.877,71252
350,0.517,71398
345,0.090,71509
1048,0.020,71559
382,0.827,74087
705,0.116,75302
455,0.004,75607
736,0.008,76509
1243,0.076,76576
344,0.003,77213
2234,0.601,77409
1564,0.086,78412
476,0.945,78447
518,0.008,79303
2399,0.002,79853
870,0.333,81478
1518,0.451,81719
457,0.621,82101
333,0.952,83151
954,0.951,86203
1529,0.165,86274
318,0.478,86384
444,0.097,86643
2102,0.010,86662
727,0.076,86870
3193,0.800,87080
356,0.340,87537
1163,0.384,88802
1539,0.382,89932
493,0.097,89957
1524,0.382,91055
674,0.102,91606
490,0.918,91671
670,0.004,91956
343,0.064,91991
825,0.030,92103
305,0.121,92166
3843,0.911,92735
559,0.828,92854
374,0.005,92924
342,0.006,93275
448,0.761,93364
8156,0.913,93537
691,0.010,94195
429,0.000,94418
1870,0.197,94683
311,0.035,94943
369,0.003,95779
466,0.644,96004
14513,0.414,96425
475,0.097,97149
878,0.015,97262
1622,0.441,98055
1089,0.037,98805
332,0.009,99140
394,0.041,99918
13556,0.990,100074
811,0.810,100210
697,0.587,100308
455,0.108,100450
836,0.728,101135
851,0.217,101688
526,0.002,102152
428,0.016,102510
1832,0.800,103458
367,0.657,104227
1845,0.028,104329
515,0.087,104367
844,0.434,105550
1088,0.372,106158
708,0.007,106227
971,0.031,106921
14285,0.732,106980
330,0.006,107924
895,0.227,108613
2100,0.050,108941
328,0.293,111541
905,0.108,112014
2918,0.271,112708
652,0.891,112997
325,0.003,113564
356,0.098,113600
555,0.034,113891
382,0.000,115758
474,0.681,116355
826,0.567,117391
1099,0.488,119352
1820,0.898,119773
436,0.298,121188
458,0.303,122163
392,0.003,122429
677,0.059,122482
9718,0.921,122724
1261,0.163,124118
2312,0.010,124228
442,0.025,124234
767,0.795,124261
1145,0.661,124316
381,0.003,124585
1481,0.009,124939
756,0.192,125877
403,0.000,125935
1058,0.805,127984
520,0.013,129770
394,0.084,130230
881,0.317,131335
606,0.000,131373
492,0.480,131925
1887,0.546,133611
399,0.238,134525
515,0.742,134898
1722,0.265,135240
927,0.084,135696
342,0.000,135900
1007,0.750,135909
7677,0.639,136710
3113,0.676,137228
1492,0.935,137302
1134,0.056,137513
317,0.006,139080
1336,0.704,139150
2453,0.968,139153
1568,0.940,139154
2694,0.550,139156
1941,0.701,139158
2873,0.800,139159
12846,0.823,139162
326,0.135,139165
717,0.093,139178
481,0.360,139179
1012,0.037,139181
330,0.079,139838
2068,0.054,142145
589,0.000,142848
3340,0.758,143283
1561,0.924,143632
399,0.789,143654
652,0.029,143751
336,0.068,144620
2870,0.000,145017
517,0.010,146482
1032,0.016,147087
13127,0.948,147516
1044,0.073,148211
596,0.000,148535
1012,0.287,148708
1262,0.763,148805
645,0.062,148927
1046,0.351,149185
1086,0.494,149193
1199,0.322,149194
1142,0.520,149201
4690,0.933,151370
662,0.272,151395
1040,0.583,151946
619,0.937,152115
1380,0.224,152385
691,0.880,152455
642,0.067,152594
634,0.211,153364
359,0.014,153972
893,0.009,154675
762,0.877,154860
1525,0.416,154974
2799,0.335,155161
1216,0.196,155625
512,0.588,155885
1049,0.545,155896
2181,0.568,155960
358,0.011,155987
416,0.000,156216
733,0.072,156399
1339,0.830,157070
1680,0.833,161341
410,0.000,161364
1240,0.967,163436
2804,0.009,163880
535,0.850,165219
358,0.039,165221
514,0.012,166128
408,0.002,167470
2831,0.020,167693
514,0.004,168027
1925,0.299,171094
1151,0.352,172820
693,0.473,172884
571,0.322,173648
553,0.007,176111
384,0.417,176908
2585,0.162,179133
314,0.003,179817
333,0.012,181133
2700,0.578,182661
1908,0.888,183584
418,0.017,184606
686,0.300,185395
1937,0.953,186620
613,0.144,186628
486,0.226,186790
1316,0.169,187025
343,0.015,188523
432,0.377,189825
2367,0.058,190055
17338,0.935,191610
715,0.210,192223
2824,0.820,193942
963,0.517,196945
408,0.429,197196
2020,0.918,197211
342,0.006,198369
2798,0.011,198515
488,0.463,199000
1673,0.387,201361
790,0.003,203480
671,0.963,204061
376,0.191,205401
370,0.214,205402
3887,0.898,205525
405,0.143,205811
2302,0.010,207434
395,0.276,208073
2564,0.035,208373
305,0.446,208519
526,0.996,211298
5415,0.319,211505
4554,0.988,211887
2962,0.190,212233
2154,0.008,212788
670,0.981,213394
7721,0.900,213873
372,0.000,214267
671,0.015,214414
1183,0.427,214745
1084,0.002,217343
910,0.378,219290
329,0.052,219948
467,0.004,222063
826,0.535,223171
2291,0.052,223949
858,0.316,224165
356,0.003,226494
1807,0.221,227067
586,0.720,227189
571,0.760,227919
523,0.885,228233
610,0.948,228256
1947,0.331,228373
1200,0.323,228584
1092,0.424,228685
1999,0.622,228799
598,0.000,228937
950,0.016,229418
664,0.226,229606
1562,0.303,230215
438,0.571,231231
315,0.041,231416
1242,0.261,232746
471,0.011,234595
316,0.022,234597
370,0.038,234793
563,0.353,234833
735,0.495,235189
535,0.009,235510
676,0.109,235611
1040,0.001,236287
5077,0.151,236393
375,0.051,236434
853,0.038,236554
336,0.893,237379
6628,0.879,242214
2451,0.251,244165
2873,0.054,246137
399,0.008,246538
430,0.256,247013
345,0.000,247845
2751,0.031,248053
363,0.000,248827
1318,0.686,249522
508,0.000,250276
319,0.041,250334
8431,0.546,251830
32189,0.815,251909
1380,0.981,251935
488,0.770,252141
1816,0.905,252265
400,0.105,254213
334,0.018,254263
387,0.041,255238
774,0.499,255276
563,0.000,255771
491,0.002,256000
1745,0.710,257685
361,0.000,258219
492,0.030,258946
825,0.015,259815
417,0.640,261494
1087,0.427,261966
962,0.588,262635
5983,0.913,262818
1055,0.228,263039
476,0.553,265090
30152,0.832,265572
2236,0.002,266845
1640,0.078,267442
784,0.440,267773
483,0.000,268838
825,0.021,269504
2383,0.129,269858
1413,0.420,270400
3322,0.524,271970
5320,0.211,274234
2922,0.153,274975
3038,0.000,275116
1309,0.009,276940
1172,0.870,278208
458,0.028,278785
707,0.952,279307
392,0.005,280021
424,0.021,280895
10611,0.791,280906
1446,0.012,281030
1395,0.432,281104
2021,0.004,281144
383,0.021,281210
2317,0.227,281537
2059,0.724,281697
356,0.792,282013
514,0.000,282205
1373,0.037,282587
501,0.022,282685
336,0.994,283462
586,0.012,283833
573,0.070,284045
8776,0.015,284937
1173,0.023,286189
535,0.071,286329
1067,0.457,286698
5318,0.884,288182
1117,0.164,288294
3654,0.322,289477
4352,0.578,289498
523,0.008,289836
1727,0.936,290226
3523,0.110,290307
410,0.017,292679
368,0.046,293166
5637,0.256,293723
4611,0.458,294365
308,0.019,294521
5539,0.806,294758
424,0.012,295233
1896,0.148,295501
794,0.010,295559
1002,0.051,296210
1505,0.630,297034
569,0.019,297102
495,0.976,297727
607,0.545,298262
388,0.005,298992
5389,0.865,300862
334,0.000,300889
384,0.000,303555
2127,0.939,303881
437,0.053,303934
706,0.004,304081
550,0.015,306099
1871,0.446,307769
3128,0.920,307771
1085,0.915,308475
1338,0.371,308762
405,0.057,308830
1766,0.822,309008
492,0.000,309239
816,0.188,310217
748,0.825,310406
331,0.039,312705
311,0.016,313045
586,0.449,314374
414,0.000,315186
376,0.684,315582
640,0.013,317888
341,0.000,318519
477,0.008,319694
736,0.042,321906
703,0.851,322404
700,0.011,322649
335,0.000,322708
3434,0.340,322782
523,0.000,323412
751,0.393,323901
639,0.332,324235
545,0.000,325000
2301,0.833,325511
370,0.005,325802
2002,0.453,326367
472,0.555,326780
666,0.096,327001
385,0.008,327539
674,0.439,327555
473,0.002,327670
370,0.003,328655
317,0.006,329163
350,0.003,329735
808,0.432,330444
724,0.301,330639
421,0.979,332989
365,0.000,333445
2231,0.866,333568
843,0.021,333569
300,0.003,335148
479,0.150,335708
4057,0.392,335784
790,0.948,336207
326,0.003,336817
1457,0.426,339145
980,0.021,340260
807,0.748,341872
536,0.209,343805
1296,0.795,344580
561,0.000,346444
1995,0.825,346606
646,0.502,346741
2076,0.753,346865
738,0.877,347277
928,0.075,347438
760,0.420,347895
434,0.000,348236
1290,0.006,348266
1012,0.408,349065
694,0.617,350313
757,0.000,351279
514,0.533,353350
648,0.012,353665
2801,0.610,355274
1130,0.111,355353
724,0.040,355645
1228,0.038,355927
995,0.071,356065
561,0.629,356276
1277,0.001,356289
600,0.012,357262
715,0.003,357705
330,0.006,358449
1293,0.066,359441
428,0.000,360425
1086,0.901,360525
1569,0.013,360784
899,0.194,361124
5378,0.426,361324
787,0.015,361358
339,0.274,361640
473,0.061,361743
2541,0.466,362250
612,0.000,362927
1127,0.454,363581
923,0.001,364021
768,0.005,364023
1102,0.020,364113
1041,0.504,364194
777,0.005,365131
471,0.000,365510
318,0.003,365570
8532,0.938,366226
741,0.005,366574
352,0.006,366769
10448,0.118,367008
886,0.383,367083
821,0.001,367457
6036,0.649,367870
1558,0.958,368173
1181,0.003,368389
310,0.323,368790
